Sample,Response Base,File Name,Sample Type,Weight_mg,Nitrogen area_mV.s,Nitrogen_mg,Nitrogen_%,Carbon area_mV.s,Carbon_mg,Carbon_%,Nitrogen_Carbon,Nitrogen area_%,Carbon area_%,Comments,Flag
Bypass1,Area,JAZ020215_001.prm,ByPass,0,0,0,0,0,0,0,???,0,0,,0
Bypass2,Area,JAZ020215_002.prm,ByPass,0,0,0,0,0,0,0,???,0,0,,0
blank_A2,Area,JAZ020215_003.prm,Blank,0,0,0,0,0,0,0,???,0,0,,0
timing_std_C2,Area,JAZ020215_004.prm,Unknown,1.724,493.2921,0.1785,10.3513,8509.3702,1.2974,75.2535,0.058,5.4794,94.5206,,0
std_E2,Area,JAZ020215_005.prm,Standard,0.257,84.5654,0.0268,10.4448,1268.9354,0.1617,62.9145,0.0666,6.2479,93.7521,,0
std_D10,Area,JAZ020215_006.prm,Standard,0.505,149.4411,0.0509,10.0808,2488.7606,0.353,69.9055,0.06,5.6645,94.3355,,0
std_E1,Area,JAZ020215_007.prm,Standard,0.869,245.6436,0.0866,9.9648,4243.0205,0.6282,72.288,0.0579,5.4725,94.5275,,0
std_C5,Area,JAZ020215_008.prm,Standard,1.169,326.2657,0.1165,9.9658,5663.1334,0.8509,72.7913,0.0576,5.4474,94.5526,,0
std_C10,Area,JAZ020215_009.prm,Standard,1.959,574.2072,0.2085,10.6417,9876.278,1.5118,77.1706,0.0581,5.4946,94.5054,,0
std_C7,Area,JAZ020215_010.prm,Standard,2.492,720.7553,0.2628,10.5471,1.16E+04,1.7881,71.7536,0.0619,5.832,94.168,,0
std_C11,Area,JAZ020215_011.prm,Standard,3.28,917.2521,0.3357,10.2354,1.50E+04,2.3119,70.485,0.0612,5.7648,94.1316,,0
blank_A3,Area,JAZ020215_012.prm,Blank,0,0,0,0,0,0,0,???,0,0,,0
st5_A5,Area,JAZ020215_013.prm,Unknown,0,89.8137,0.0288,17.0093,1133.6446,0.1405,82.9907,0.0792,7.1385,90.1031,,0
st6_A6,Area,JAZ020215_014.prm,Unknown,0,69.4311,0.0212,10.3725,1407.5822,0.1834,89.6275,0.0493,4.2781,86.7303,,0
st7_A7,Area,JAZ020215_015.prm,Unknown,0,86.6482,0.0276,9.4574,1923.6622,0.2644,90.5426,0.045,3.4451,76.4836,,0
st8_A8,Area,JAZ020215_016.prm,Unknown,0,69.6995,0.0213,9.0064,1611.9083,0.2155,90.9936,0.0432,2.8884,66.7987,,0
st9_A9,Area,JAZ020215_017.prm,Unknown,0,90.7136,0.0291,8.6106,2208.7848,0.3091,91.3894,0.0411,3.1005,75.4947,,0
st10_A10,Area,JAZ020215_018.prm,Unknown,0,135.8142,0.0459,8.1708,3523.535,0.5153,91.8292,0.0385,3.0033,77.9172,,0
control_D11,Area,JAZ020215_019.prm,Unknown,0.667,194.1677,0.0675,10.1198,3253.5424,0.473,70.9116,0.0597,4.2294,70.8696,,0
st11_A11,Area,JAZ020215_020.prm,Unknown,0,96.8425,0.0314,9.102,2237.0951,0.3135,90.898,0.0433,3.8716,89.4359,,0
st12_A12,Area,JAZ020215_021.prm,Unknown,0,43.4449,0.0116,11.5965,801.3713,0.0884,88.4035,0.0542,2.6011,47.9783,,0
st25_B12,Area,JAZ020215_022.prm,Unknown,0,42.9003,0.0114,17.6324,577.2399,0.0532,82.3676,0.0743,3.8516,51.8248,,0
st26_C1,Area,JAZ020215_023.prm,Unknown,0,49.9539,0.014,25.6517,496.865,0.0406,74.3483,0.1005,7.66,76.1896,,0
st27_C2,Area,JAZ020215_024.prm,Unknown,0,65.7349,0.0199,29.0012,548.0323,0.0486,70.9988,0.1199,9.7247,81.0749,,0
control_E3,Area,JAZ020215_025.prm,Unknown,0.938,266.3726,0.0943,10.0515,4511.1636,0.6702,71.4543,0.059,5.5755,94.4245,,0
st28_C3,Area,JAZ020215_026.prm,Unknown,0,48.1298,0.0133,22.6937,527.5366,0.0454,77.3063,0.0912,5.4417,59.645,,0
st29_C4,Area,JAZ020215_027.prm,Unknown,0,59.2408,0.0174,11.3296,1108.7453,0.1366,88.6704,0.0534,4.6509,87.0455,,0
st30_C5,Area,JAZ020215_028.prm,Unknown,0,58.4722,0.0172,12.0618,1035.8835,0.1251,87.9382,0.0564,4.7104,83.4488,,0
st31_C6,Area,JAZ020215_029.prm,Unknown,0,35.1377,0.0085,10.7333,689.2223,0.0708,89.2667,0.051,3.9326,77.1376,,0
st32_C7,Area,JAZ020215_030.prm,Unknown,0,42.5647,0.0113,15.2643,636.7128,0.0625,84.7357,0.0669,5.2292,78.2221,,0
control_E10,Area,JAZ020215_031.prm,Unknown,1.193,390.9217,0.1405,11.7756,5690.1871,0.8552,71.6827,0.0687,6.3638,92.6298,,0
st45_D7,Area,JAZ020215_032.prm,Unknown,0,51.5434,0.0146,17.527,675.895,0.0687,82.473,0.0763,4.1106,53.9031,,0
st46_D8,Area,JAZ020215_033.prm,Unknown,0,30.8762,0.0069,17.1262,451.8061,0.0335,82.8738,0.0683,5.0708,74.2005,,0
st47_D9,Area,JAZ020215_034.prm,Unknown,0,38.6882,0.0098,15.6137,576.6369,0.0531,84.3863,0.0671,5.4898,81.8241,,0
st48_D10,Area,JAZ020215_035.prm,Unknown,0,39.4878,0.0101,14.4837,619.1031,0.0598,85.5163,0.0638,5.4239,85.0381,,0
st49_D11,Area,JAZ020215_036.prm,Unknown,0,50.4327,0.0142,14.3184,779.1357,0.0849,85.6816,0.0647,5.4329,83.9332,,0
control_F1,Area,JAZ020215_037.prm,Unknown,0.701,194.0835,0.0675,9.6245,3396.1251,0.4953,70.6626,0.0571,5.2359,91.6186,,0
st50_D12,Area,JAZ020215_038.prm,Unknown,0,52.738,0.015,14.2246,816.1724,0.0907,85.7754,0.0646,5.1578,79.8229,,0
st51_E1,Area,JAZ020215_039.prm,Unknown,0,32.9878,0.0077,22.9022,403.5797,0.026,77.0978,0.0817,6.1288,74.9811,,0
st52_E2,Area,JAZ020215_040.prm,Unknown,0,58.764,0.0173,12.0012,1045.5236,0.1266,87.9988,0.0562,4.9946,88.8632,,0
st63_E12,Area,JAZ020215_041.prm,Unknown,0,64.0912,0.0192,12.0779,1131.4074,0.1401,87.9221,0.0566,4.4833,79.1436,,0
st64_F1,Area,JAZ020215_042.prm,Unknown,0,83.2353,0.0263,13.9725,1272.3877,0.1622,86.0275,0.0654,5.0871,77.7648,,0
st65_F2,Area,JAZ020215_043.prm,Unknown,0,55.0039,0.0159,7.9348,1412.57,0.1842,92.0652,0.0389,3.7479,96.2521,,0
st66_F3,Area,JAZ020215_044.prm,Unknown,0,94.7051,0.0306,9.9016,2013.5238,0.2785,90.0984,0.047,4.4922,95.5078,,0
st67_F4,Area,JAZ020215_045.prm,Unknown,0,71.7177,0.0221,9.4504,1586.7107,0.2115,90.5496,0.0452,4.3244,95.6756,,0
