Sample,Response Base,File Name,Sample Type,Weight_mg,Nitrogen area_mV.s,Nitrogen_mg,Nitrogen_%,Carbon area_mV.s,Carbon_mg,Carbon_%,Nitrogen_Carbon,Nitrogen area_%,Carbon area_%,Comments,Flag
bypass1,Area,JAZ022415_001.prm,ByPass,0,0,0,0,0,0,0,???,0,0,,0
bypass2,Area,JAZ022415_002.prm,ByPass,0,0,0,0,0,0,0,???,0,0,,0
blank_A7,Area,JAZ022415_003.prm,Unknown,0,0,0,0,0,0,0,???,0,0,,0
timingStd_C9,Area,JAZ022415_004.prm,Unknown,1.84,512.1012,0.187,10.1606,8743.9662,1.3258,72.0538,0.0586,5.5326,94.4674,,0
std1_E9,Area,JAZ022415_005.prm,Standard,0.198,72.1735,0.023,11.6274,993.1989,0.1151,58.1379,0.0727,6.7745,93.2255,,0
std2_H9,Area,JAZ022415_006.prm,Standard,0.418,140.3952,0.0484,11.5895,2136.6856,0.2937,70.2695,0.0657,6.1656,93.8344,,0
std3_H4,Area,JAZ022415_007.prm,Standard,0.649,190.9127,0.0673,10.365,3214.391,0.4621,71.1965,0.0594,5.6063,94.3937,,0
std4_G7,Area,JAZ022415_008.prm,Standard,0.964,275.9829,0.099,10.2665,4745.5838,0.7012,72.7426,0.0582,5.496,94.504,,0
std5_D12,Area,JAZ022415_009.prm,Standard,1.243,348.5365,0.126,10.1372,6037.5366,0.903,72.6502,0.0577,5.4578,94.5422,,0
std6_F12,Area,JAZ022415_010.prm,Standard,2.184,538.7369,0.1969,9.0147,9259.6775,1.4063,64.393,0.0582,5.4982,94.5018,,0
std7_G12,Area,JAZ022415_011.prm,Standard,3.359,947.2909,0.3491,10.3936,1.55E+04,2.3775,70.7813,0.0612,5.7614,94.1327,,0
blank_A8,Area,JAZ022415_012.prm,Unknown,0,0,0,0,0,0,0,???,0,0,,0
st2_A2,Area,JAZ022415_014.prm,Unknown,0,109.3342,0.0369,12.4427,1917.218,0.2594,87.5573,0.057,5.3642,94.0627,,0
st3_A3,Area,JAZ022415_015.prm,Unknown,0,61.7681,0.0191,11.7422,1177.4814,0.1439,88.2578,0.0525,4.9843,95.0157,,0
st4_A4,Area,JAZ022415_016.prm,Unknown,0,123.4201,0.0421,9.7628,2748.5542,0.3893,90.2372,0.0449,4.2603,94.8755,,0
st13_B1,Area,JAZ022415_017.prm,Unknown,0,43.37,0.0123,13.1132,777.5358,0.0814,86.8868,0.0558,5.2832,94.7168,,0
st15_B2,Area,JAZ022415_018.prm,Unknown,0,52.3782,0.0156,10.7926,1084.1711,0.1293,89.2074,0.0483,4.6085,95.3915,,0
st16_B3,Area,JAZ022415_019.prm,Unknown,0,35.738,0.0094,10.4645,773.6144,0.0808,89.5355,0.0462,4.4156,95.5844,,0
st17_B4,Area,JAZ022415_020.prm,Unknown,0,169.4154,0.0593,10.9022,3356.6518,0.4843,89.0978,0.0505,4.8047,95.1953,,0
st18_B5,Area,JAZ022415_021.prm,Unknown,0,159.8588,0.0557,10.7736,3209.3692,0.4613,89.2264,0.0498,4.6105,92.5607,,0
control_F6,Area,JAZ022415_022.prm,Unknown,1.285,359.6436,0.1301,10.1279,6263.415,0.9383,73.0214,0.0574,5.3718,93.5535,,0
st19_B6,Area,JAZ022415_023.prm,Unknown,0,162.2616,0.0566,11.5715,3024.9498,0.4325,88.4285,0.0536,5.0578,94.2905,,0
st20_B7,Area,JAZ022415_024.prm,Unknown,0,314.6551,0.1134,16.7052,3875.4833,0.5653,83.2948,0.0812,7.5094,92.4906,,0
st21_B8,Area,JAZ022415_025.prm,Unknown,0,25.449,0.0056,23.5925,119.2945,0.0182,76.4075,0.2133,13.5116,63.3369,"Didn't fall, added to end of run ",1
st22_B9,Area,JAZ022415_026.prm,Unknown,0,41.0471,0.0114,12.7944,754.7147,0.0779,87.2056,0.0544,4.8246,88.7076,,0
st23_B10,Area,JAZ022415_027.prm,Unknown,0,51.744,0.0154,17.991,705.934,0.0702,82.009,0.0733,6.8293,93.1707,,0
st24_B11,Area,JAZ022415_028.prm,Unknown,0,58.219,0.0178,11.7853,1110.2922,0.1334,88.2147,0.0524,4.8239,91.9962,,0
st33_C8,Area,JAZ022415_029.prm,Unknown,0,85.4247,0.028,35.1761,586.1149,0.0515,64.8239,0.1457,12.7207,87.2793,,0
st35_C9,Area,JAZ022415_030.prm,Unknown,0,0,0,0,0,0,0,???,0,0,"Didn't fall, added to end of run ",1
st36_C10,Area,JAZ022415_031.prm,Unknown,0,48.9963,0.0144,13.2845,857.4135,0.0939,86.7155,0.0571,5.1465,90.0608,,0
st37_C11,Area,JAZ022415_032.prm,Unknown,0,183.6716,0.0646,25.7712,1446.9035,0.186,74.2288,0.1269,11.2642,88.7358,,0
st38_C12,Area,JAZ022415_033.prm,Unknown,0,118.1641,0.0402,16.9659,1514.5621,0.1966,83.0341,0.078,7.2372,92.7628,,0
control_F9,Area,JAZ022415_034.prm,Unknown,1.079,151.5595,0.0526,4.8753,2148.8698,0.2956,27.3985,0.0705,6.5883,93.4117,,0
st39_D1,Area,JAZ022415_035.prm,Unknown,0,118.2694,0.0402,11.8457,2171.4518,0.2992,88.1543,0.0545,5.1652,94.8348,,0
st40_D2,Area,JAZ022415_036.prm,Unknown,0,116.4291,0.0395,18.8849,1342.7961,0.1697,81.1151,0.0867,7.7788,89.7138,,0
st41_D3,Area,JAZ022415_037.prm,Unknown,0,48.2368,0.0141,12.7502,874.0699,0.0965,87.2498,0.0552,5.0577,91.6476,,0
st42_D4,Area,JAZ022415_038.prm,Unknown,0,55.1395,0.0167,16.8163,784.3087,0.0825,83.1837,0.0703,6.3896,90.8867,,0
st43_D5,Area,JAZ022415_039.prm,Unknown,0,29.7499,0.0072,13.0939,562.7656,0.0479,86.9061,0.0529,4.6511,87.9837,,0
st44_D6,Area,JAZ022415_040.prm,Unknown,0,44.9673,0.0129,10.7237,942.9467,0.1073,89.2763,0.0477,4.5517,95.4483,,0
st53_E3,Area,JAZ022415_041.prm,Unknown,0,55.1056,0.0167,38.6029,425.9026,0.0265,61.3971,0.1294,11.4563,88.5437,,0
st55_E4,Area,JAZ022415_042.prm,Unknown,0,38.5303,0.0105,23.3839,476.1902,0.0344,76.6161,0.0809,7.4857,92.5143,,0
st56_E5,Area,JAZ022415_043.prm,Unknown,0,50.0801,0.0148,19.6283,643.9404,0.0606,80.3717,0.0778,7.2159,92.7841,,0
st57_E6,Area,JAZ022415_044.prm,Unknown,0,66.2439,0.0208,14.2972,1054.9517,0.1248,85.7028,0.0628,5.9083,94.0917,,0
st58_E7,Area,JAZ022415_045.prm,Unknown,0,108.3128,0.0365,13.7593,1720.4306,0.2287,86.2407,0.063,5.9228,94.0772,,0
control_F11,Area,JAZ022415_046.prm,Unknown,1.947,287.8703,0.1034,5.3107,4846.7138,0.717,36.8277,0.0594,5.6065,94.3935,,0
st59_E8,Area,JAZ022415_047.prm,Unknown,0,113.1115,0.0383,17.5339,1408.7784,0.18,82.4661,0.0803,7.4323,92.5677,,0
st60_E9,Area,JAZ022415_048.prm,Unknown,0,59.5231,0.0183,15.9341,874.6276,0.0966,84.0659,0.0681,6.3719,93.6281,,0
st61_E10,Area,JAZ022415_049.prm,Unknown,0,150.0156,0.052,10.7233,3029.3963,0.4332,89.2767,0.0495,4.6948,94.8065,,0
st62_E11,Area,JAZ022415_050.prm,Unknown,0,98.0541,0.0327,11.2734,1902.1966,0.2571,88.7266,0.0515,4.9021,95.0979,,0
st71_F8,Area,JAZ022415_051.prm,Unknown,0,70.8767,0.0225,13.223,1203.1918,0.1479,86.777,0.0589,5.563,94.437,,0
st72_F9,Area,JAZ022415_052.prm,Unknown,0,86.8928,0.0285,13.3161,1444.294,0.1856,86.6839,0.0602,5.6749,94.3251,,0
st73_F10,Area,JAZ022415_053.prm,Unknown,0,91.56,0.0302,14.8018,1370.8148,0.1741,85.1982,0.0668,6.0611,90.7447,,0
st74_F11,Area,JAZ022415_054.prm,Unknown,0,66.4458,0.0209,15.1386,1005.8577,0.1171,84.8614,0.0661,6.1966,93.8034,,0
st75_F12,Area,JAZ022415_055.prm,Unknown,0,31.3758,0.0078,11.7068,633.8105,0.059,88.2932,0.0495,4.5966,92.8544,,0
st76_G1,Area,JAZ022415_056.prm,Unknown,0,63.2942,0.0197,13.3397,1076.1325,0.1281,86.6603,0.0588,5.5549,94.4451,,0
st77_G2,Area,JAZ022415_057.prm,Unknown,0,69.2799,0.0219,13.1784,1181.7889,0.1446,86.8216,0.0586,5.5377,94.4623,,0
st78_G3,Area,JAZ022415_058.prm,Unknown,0,41.4355,0.0116,18.3269,586.2902,0.0516,81.6731,0.0707,6.6009,93.3991,,0
st79_G4,Area,JAZ022415_059.prm,Unknown,0,65.1524,0.0204,20.2432,770.9553,0.0804,79.7568,0.0845,7.7923,92.2077,,0
st80_G5,Area,JAZ022415_060.prm,Unknown,0,187.9336,0.0662,11.7243,3445.254,0.4981,88.2757,0.0545,5.1727,94.8273,,0
control_G2,Area,JAZ022415_061.prm,Unknown,1.116,309.3969,0.1114,9.9839,5531.893,0.8241,73.8406,0.0559,5.2967,94.7033,,0
st21_B8,Area,JAZ022415_062.prm,Unknown,0,41.2451,0.0115,12.1099,790.4546,0.0834,87.8901,0.0522,4.7383,90.8089,,0
st35_C9,Area,JAZ022415_063.prm,Unknown,0,46.7087,0.0135,12.8617,843.2324,0.0917,87.1383,0.0554,5.1609,93.1698,,0
