Sample,Response Base,File Name,Sample Type,Weight_mg,Nitrogen area_mV.s,Nitrogen_mg,Nitrogen_%,Carbon area_mV.s,Carbon_mg,Carbon_%,Nitrogen_Carbon,Nitrogen area_%,Carbon area_%,Comments,Flag
bypass1,Area,JAZ020315_001.prm,ByPass,0,0,0,0,0,0,0,???,0,0,,0
bypass2,Area,JAZ020315_002.prm,ByPass,0,0,0,0,0,0,0,???,0,0,,0
blank,Area,JAZ020315_003.prm,Blank,0,0,0,0,0,0,0,???,0,0,,0
std_H5,Area,JAZ020315_004.prm,Standard,0.177,67.8983,0.0195,11.0106,923.0282,0.1223,69.0916,0.0736,6.852,93.148,,0
std_E5,Area,JAZ020315_005.prm,Standard,0.26,85.9302,0.0267,10.2637,1290.8096,0.1792,68.9269,0.0666,6.2416,93.7584,,0
std_E8,Area,JAZ020315_006.prm,Standard,0.557,162.0979,0.0571,10.2487,2711.9503,0.3991,71.6599,0.0598,5.6401,94.3599,,0
std_F10,Area,JAZ020315_007.prm,Standard,0.99,302.6035,0.1132,11.4306,5210.6535,0.7858,79.3783,0.0581,5.4887,94.5113,,0
std_G8,Area,JAZ020315_008.prm,Standard,1.583,429.7192,0.1639,10.3535,7492.5913,1.139,71.9519,0.0574,5.3041,92.4829,,0
std_G3,Area,JAZ020315_009.prm,Standard,2.036,546.6582,0.2106,10.3422,9499.6581,1.4496,71.199,0.0575,5.1023,88.6665,,0
std_G5,Area,JAZ020315_010.prm,Standard,2.612,698.334,0.2711,10.3792,1.21E+04,1.847,70.7119,0.0579,5.0684,87.5828,,0
blank,Area,JAZ020315_011.prm,Blank,0,0,0,0,0,0,0,???,0,0,,0
st68_F5,Area,JAZ020315_012.prm,Unknown,0,168.9522,0.0598,13.6735,2573.198,0.3777,86.3265,0.0657,6.1613,93.8387,,0
st69_F6,Area,JAZ020315_013.prm,Unknown,0,64.1391,0.018,12.2953,961.9472,0.1283,87.7047,0.0667,4.3529,65.2845,,0
st70_F7,Area,JAZ020315_014.prm,Unknown,0,31.2095,0.0048,11.1774,381.644,0.0385,88.8226,0.0818,4.6575,56.9538,,0
st92_H5,Area,JAZ020315_015.prm,Unknown,0,151.4711,0.0528,12.7671,2465.8637,0.3611,87.2329,0.0614,5.3944,87.8173,,0
st93_H6,Area,JAZ020315_016.prm,Unknown,0,130.3308,0.0444,12.7145,2102.6595,0.3049,87.2855,0.062,4.4575,71.9133,,0
st94_H7,Area,JAZ020315_017.prm,Unknown,0,75.7678,0.0226,13.7644,1048.9295,0.1418,86.2356,0.0722,4.2252,58.4941,,0
st95_H8,Area,JAZ020315_018.prm,Unknown,0,51.6422,0.013,9.9533,892.8211,0.1176,90.0467,0.0578,3.931,67.9618,,0
control_E6,Area,JAZ020315_019.prm,Unknown,0.739,227.7391,0.0833,11.2697,4026.181,0.6025,81.534,0.0566,5.1165,90.4542,,0
st96_H9,Area,JAZ020315_020.prm,Unknown,0,54.6973,0.0142,9.3559,1023.0436,0.1378,90.6441,0.0535,4.0671,76.0705,,0
st97_H10,Area,JAZ020315_021.prm,Unknown,0,64.8798,0.0183,12.2281,980.8497,0.1312,87.7719,0.0661,5.4032,81.6859,,0
